"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Trey McBride","ARI","108.9","1069.1","6.8","0.2","256.1"
"Brock Bowers","LV","96.6","1022.9","7.5","0.2","243.7"
"Colston Loveland","CHI","79.1","927.1","6.7","0.2","211.4"
"Tyler Warren","IND","79.0","878.5","5.5","0.3","199.2"
"Harold Fannin Jr.","CLE","79.9","818.7","5.4","0.8","192.6"
"Kyle Pitts Sr.","ATL","77.2","845.2","4.4","0.1","187.8"
"George Kittle","SF","69.4","787.6","6.2","0.2","185.1"
"Sam LaPorta","DET","70.4","813.9","5.5","0.2","184.1"
"Travis Kelce","KC","75.3","786.3","4.9","0.3","182.5"
"Dallas Goedert","PHI","65.5","689.2","7.6","0.2","179.5"
"Tucker Kraft","GB","61.5","785.8","6.5","0.2","178.4"
"Jake Ferguson","DAL","74.0","606.4","6.0","1.4","167.5"
"Mark Andrews","BAL","59.6","618.8","7.7","0.3","167.2"
"Isaiah Likely","NYG","63.1","745.3","5.0","1.3","165.3"
"Dalton Kincaid","BUF","57.1","706.8","5.5","0.2","160.2"
"Juwan Johnson","NO","64.7","730.3","3.3","1.3","154.7"
"Hunter Henry","NE","55.5","650.6","5.4","0.1","152.9"
"Brenton Strange","JAC","60.0","661.2","4.3","0.2","151.7"
"Dalton Schultz","HOU","65.8","627.1","3.4","0.2","148.4"
"T.J. Hockenson","MIN","63.9","574.5","3.3","0.2","140.6"
"Pat Freiermuth","PIT","53.0","560.0","4.3","0.2","134.1"
"Greg Dulcich","MIA","54.6","620.0","3.2","1.2","133.5"
"Cade Otton","TB","54.8","557.4","3.1","0.1","128.9"
"Chig Okonkwo","WAS","52.8","569.5","2.8","0.1","126.2"
"Kenyon Sadiq","NYJ","49.0","537.6","4.0","0.7","125.3"
"AJ Barner","SEA","48.6","469.9","4.9","0.2","124.4"
"Terrance Ferguson","LAR","39.0","533.4","5.1","0.2","122.8"
"Evan Engram","DEN","53.4","475.9","2.7","0.1","117.1"
"Darren Waller","CAR","43.4","446.5","4.7","0.1","115.8"
"Gunnar Helm","TEN","48.9","444.1","3.1","0.2","111.6"
"David Njoku","LAC","42.3","396.6","4.3","0.1","107.4"
"Mike Gesicki","CIN","41.4","434.3","3.6","0.1","106.1"
"Mason Taylor","NYJ","46.1","405.9","2.5","0.1","101.3"
"Oronde Gadsden II","LAC","37.8","474.9","2.8","0.6","101.1"
"Colby Parkinson","LAR","33.3","342.5","4.0","0.6","90.5"
"Michael Mayer","LV","40.0","376.3","2.1","0.1","90.0"
"Dawson Knox","BUF","28.6","331.7","2.9","0.1","79.2"
"Theo Johnson","NYG","27.8","313.7","2.9","0.1","76.2"
"Darnell Washington","PIT","30.7","329.1","2.0","0.6","74.1"
"Tyler Higbee","LAR","25.1","296.5","2.4","0.0","69.2"
"Erick All Jr.","CIN","30.5","268.1","1.9","0.1","68.7"
"Cole Kmet","CHI","26.2","274.1","2.2","0.1","66.8"
"Noah Fant","NO","29.3","274.4","1.6","1.6","63.2"
"Will Kacmarek","MIA","26.6","250.7","1.9","0.6","61.8"
"Elijah Arroyo","SEA","23.6","240.1","1.9","0.2","58.4"
"Charlie Kolar","LAC","20.2","230.3","2.0","0.1","55.4"
"Brock Wright","DET","20.9","187.6","2.3","0.0","53.4"
"Josh Oliver","MIN","18.6","194.3","2.4","0.1","52.1"
"Daniel Bellinger","TEN","19.3","222.3","1.8","0.0","52.0"
"Austin Hooper","ATL","21.9","225.4","1.3","0.1","51.9"
"Tommy Tremble","CAR","21.1","197.8","1.8","0.1","51.4"
"Noah Gray","KC","21.1","212.0","1.5","0.1","51.0"
"Eli Stowers","PHI","20.9","214.5","1.4","0.6","49.6"
"Adam Trautman","DEN","19.3","197.2","1.5","0.0","47.9"
"Eli Raridon","NE","18.8","195.4","1.6","0.6","46.5"
