"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Puka Nacua","LAR","122.6","1616.8","9.2","13.6","95.6","1.4","1.0","355.7"
"Ja'Marr Chase","CIN","121.2","1511.2","10.6","3.0","17.0","0.0","1.0","336.0"
"Jaxon Smith-Njigba","SEA","110.9","1570.0","9.5","5.5","30.4","0.1","1.1","326.2"
"Amon-Ra St. Brown","DET","117.4","1390.9","10.5","3.1","11.8","0.0","0.4","319.8"
"Drake London","ATL","98.4","1272.9","8.8","0.0","0.0","0.0","1.0","276.3"
"CeeDee Lamb","DAL","97.5","1295.6","7.5","2.4","12.6","0.0","0.3","273.0"
"Justin Jefferson","MIN","98.9","1310.9","7.1","1.3","5.5","0.0","0.3","272.8"
"Rashee Rice","KC","96.9","1071.4","9.6","5.4","25.6","0.9","0.6","268.3"
"Chris Olave","NO","95.8","1195.5","7.9","0.3","0.0","0.0","0.3","262.0"
"A.J. Brown","NE","87.6","1232.0","7.7","0.0","0.0","0.0","0.3","256.2"
"George Pickens","DAL","82.5","1200.6","8.4","0.3","0.0","0.0","0.4","252.0"
"Nico Collins","HOU","82.5","1207.2","7.2","1.4","8.3","0.4","0.8","247.9"
"Garrett Wilson","NYJ","96.4","1094.5","6.4","1.1","4.3","0.0","1.0","242.8"
"Zay Flowers","BAL","81.2","1157.5","6.5","9.9","58.8","0.5","1.5","241.8"
"Malik Nabers","NYG","81.4","1083.1","8.4","2.8","8.3","0.1","0.4","240.6"
"DeVonta Smith","PHI","87.8","1134.9","6.0","0.0","0.0","0.0","0.3","236.9"
"Tetairoa McMillan","CAR","81.2","1146.7","6.6","0.0","0.0","0.0","0.9","233.8"
"Emeka Egbuka","TB","73.2","1097.8","7.5","1.4","7.3","0.0","0.3","228.2"
"Davante Adams","LAR","68.5","926.2","10.2","0.0","0.0","0.0","0.2","221.9"
"Tee Higgins","CIN","70.8","965.3","9.1","0.0","0.0","0.0","0.2","221.7"
"Ladd McConkey","LAC","79.2","1010.1","6.8","0.0","0.0","0.0","0.3","220.3"
"Jameson Williams","DET","64.4","1065.4","6.6","7.3","42.0","0.5","0.2","217.3"
"Jaylen Waddle","DEN","74.2","991.8","6.0","1.7","12.4","0.0","0.3","210.2"
"Terry McLaurin","WAS","69.0","972.1","7.4","0.3","0.3","0.0","0.3","209.8"
"DJ Moore","BUF","69.4","905.1","7.0","10.3","54.0","0.5","0.8","208.5"
"Luther Burden III","CHI","72.7","972.7","5.7","7.7","38.2","0.1","0.3","208.0"
"Rome Odunze","CHI","62.4","963.3","7.8","0.3","1.3","0.0","0.3","205.1"
"Mike Evans","SF","67.2","945.6","6.9","0.0","0.0","0.0","0.2","203.0"
"Marvin Harrison Jr.","ARI","67.3","961.3","6.0","0.0","0.0","0.0","0.3","198.9"
"Courtland Sutton","DEN","67.4","884.3","7.2","0.0","0.0","0.0","0.2","198.6"
"Christian Watson","GB","57.9","930.0","7.3","1.7","8.0","0.0","0.3","195.5"
"DK Metcalf","PIT","64.3","927.1","6.1","0.7","3.3","0.3","0.2","195.2"
"Alec Pierce","IND","56.5","977.2","6.4","0.0","0.0","0.0","0.3","192.2"
"Michael Pittman Jr.","PIT","80.5","806.1","5.0","0.0","0.0","0.0","0.3","190.3"
"Parker Washington","JAC","62.6","863.2","5.7","5.0","13.6","0.1","0.4","184.4"
"Brian Thomas Jr.","JAC","58.0","871.6","5.4","2.7","17.7","0.4","0.2","181.1"
"Wan'Dale Robinson","TEN","79.9","805.6","3.0","2.0","9.5","0.1","0.3","179.1"
"Jakobi Meyers","JAC","68.3","787.7","5.1","4.3","22.7","0.1","0.8","178.7"
"Carnell Tate","TEN","65.2","887.5","4.5","0.7","3.0","0.0","1.4","178.4"
"Michael Wilson","ARI","67.5","839.8","4.5","0.0","0.7","0.0","0.2","177.9"
"Jayden Reed","GB","63.1","757.7","4.8","12.0","86.9","0.1","0.4","176.3"
"Chris Godwin Jr.","TB","67.8","773.9","5.2","0.3","0.3","0.0","0.3","175.7"
"Quentin Johnston","LAC","53.6","757.3","6.9","1.7","5.9","0.0","0.7","169.9"
"Jordan Addison","MIN","55.2","758.4","5.4","2.7","37.1","0.4","0.2","168.9"
"Xavier Worthy","KC","55.2","723.3","4.2","15.5","99.4","0.9","0.2","167.7"
"Stefon Diggs","WAS","67.0","747.1","4.2","0.3","0.7","0.0","0.2","166.2"
"Khalil Shakir","BUF","69.7","726.3","3.9","1.1","5.5","0.0","0.8","164.9"
"Josh Downs","IND","68.8","704.9","4.2","1.4","4.2","0.0","0.8","163.7"
"Romeo Doubs","NE","57.1","744.6","5.4","0.0","0.0","0.0","0.3","163.7"
"Deebo Samuel Sr.","SF","56.3","635.9","4.4","29.1","112.2","1.1","0.4","162.9"
"Matthew Golden","GB","55.9","758.7","4.6","5.5","27.3","0.1","0.4","161.5"
"KC Concepcion","CLE","61.3","784.5","3.6","4.2","22.5","0.1","1.3","161.5"
"De'Zhaun Stribling","SF","54.0","799.0","4.7","1.5","6.5","0.0","1.3","160.5"
"Jalen Coker","CAR","60.7","718.0","4.5","0.0","0.0","0.0","0.8","157.8"
"Rashid Shaheed","SEA","49.9","755.8","3.8","13.4","88.9","0.3","0.8","156.8"
"Denzel Boston","CLE","58.7","746.5","3.5","1.0","5.0","0.0","1.3","152.2"
"Makai Lemon","PHI","52.8","738.2","4.4","1.5","6.5","0.0","1.3","150.8"
"Calvin Ridley","TEN","46.7","762.4","3.2","4.5","27.6","0.6","0.2","148.1"
"Jerry Jeudy","CLE","56.0","752.8","2.9","0.5","2.0","0.0","0.7","147.2"
"Tre Tucker","LV","50.2","631.6","3.8","11.2","54.6","0.2","0.1","142.1"
"Keenan Allen","IND","58.6","607.2","3.8","0.0","0.0","0.0","0.3","141.7"
"Rashod Bateman","BAL","38.8","598.6","6.0","0.0","0.0","0.0","0.2","134.3"
"Jauan Jennings","MIN","48.7","557.7","5.2","0.0","0.0","0.0","0.7","134.1"
"Jalen McMillan","TB","46.6","607.3","3.9","4.7","26.8","0.1","0.2","133.8"
"Jalen Nailor","LV","43.7","587.7","4.0","2.0","9.0","0.0","0.2","127.2"
"Devaughn Vele","NO","47.3","567.7","3.7","0.0","0.0","0.0","0.2","125.8"
