NFL Team,Fantasy RB1 (Projected Starter)
Arizona Cardinals,Jeremiyah Love
Atlanta Falcons,Bijan Robinson
Baltimore Ravens,Derrick Henry
Buffalo Bills,James Cook III
Carolina Panthers,Jonathon Brooks
Chicago Bears,D'Andre Swift
Cincinnati Bengals,Chase Brown
Cleveland Browns,Quinshon Judkins
Dallas Cowboys,Javonte Williams
Denver Broncos,J.K. Dobbins
Detroit Lions,Jahmyr Gibbs
Green Bay Packers,Josh Jacobs
Houston Texans,David Montgomery
Indianapolis Colts,Jonathan Taylor
Jacksonville Jaguars,Bhayshul Tuten
Kansas City Chiefs,Kenneth Walker III
Las Vegas Raiders,Ashton Jeanty
Los Angeles Chargers,Omarion Hampton
Los Angeles Rams,Kyren Williams
Miami Dolphins,De'Von Achane
Minnesota Vikings,Aaron Jones
New England Patriots,TreVeyon Henderson
New Orleans Saints,Travis Etienne
New York Giants,Cam Skattebo
New York Jets,Breece Hall
Philadelphia Eagles,Saquon Barkley
Pittsburgh Steelers,Jaylen Warren
San Francisco 49ers,Christian McCaffrey
Seattle Seahawks,Jadarian Price
Tampa Bay Buccaneers,Bucky Irving
Tennessee Titans,Tony Pollard
Washington Commanders,Jacory Croskey-Merritt
