Team,Player
Arizona Cardinals,James Conner
Atlanta Falcons,Tyler Allgeier
Baltimore Ravens,Justice Hill
Buffalo Bills,Ray Davis
Carolina Panthers,Chuba Hubbard
Chicago Bears,Roschon Johnson
Cincinnati Bengals,Zack Moss
Cleveland Browns,Nick Chubb
Dallas Cowboys,Rico Dowdle
Denver Broncos,Audric Estimé
Detroit Lions,David Montgomery
Green Bay Packers,MarShawn Lloyd
Houston Texans,Joe Mixon
Indianapolis Colts,Trey Benson
Jacksonville Jaguars,Tank Bigsby
Kansas City Chiefs,Isiah Pacheco
Las Vegas Raiders,Zamir White
Los Angeles Chargers,Gus Edwards
Los Angeles Rams,Blake Corum
Miami Dolphins,Raheem Mostert
Minnesota Vikings,Ty Chandler
New England Patriots,Rhamondre Stevenson
New Orleans Saints,Alvin Kamara
New York Giants,Devin Singletary
New York Jets,Braelon Allen
Philadelphia Eagles,Kenneth Gainwell
Pittsburgh Steelers,Najee Harris
San Francisco 49ers,Jordan Mason
Seattle Seahawks,Zach Charbonnet
Tampa Bay Buccaneers,Rachaad White
Tennessee Titans,Tyjae Spears
Washington Commanders,Brian Robinson Jr.
