Team,Position,Player
Arizona Cardinals,WR2,Marvin Harrison Jr.
Atlanta Falcons,WR2,Darnell Mooney
Baltimore Ravens,WR2,DeAndre Hopkins
Buffalo Bills,WR2,Keon Coleman
Carolina Panthers,WR2,Xavier Legette
Chicago Bears,WR2,DJ Moore
Cincinnati Bengals,WR2,Tee Higgins
Cleveland Browns,WR2,Isaiah Bond
Dallas Cowboys,WR2,Jalen Tolbert
Denver Broncos,WR2,Troy Franklin
Detroit Lions,WR2,Jameson Williams
Green Bay Packers,WR2,Christian Watson
Houston Texans,WR2,John Higgins
Indianapolis Colts,WR2,Josh Downs
Jacksonville Jaguars,WR2,Brian Thomas Jr.
Kansas City Chiefs,WR2,Hollywood Brown
Las Vegas Raiders,WR2,Jakobi Meyers
Los Angeles Chargers,WR2,Ladd McConkey
Los Angeles Rams,WR2,Davante Adams
Miami Dolphins,WR2,Malik Washington
Minnesota Vikings,WR2,Jordan Addison
New England Patriots,WR2,Mack Hollins
New Orleans Saints,WR2,Rashid Shaheed
New York Giants,WR2,Darius Slayton
New York Jets,WR2,Adonai Mitchell
Philadelphia Eagles,WR2,DeVonta Smith
Pittsburgh Steelers,WR2,Calvin Austin III
San Francisco 49ers,WR2,Ricky Pearsall
Seattle Seahawks,WR2,Cooper Kupp
Tampa Bay Buccaneers,WR2,Mike Evans
Tennessee Titans,WR2,Chimere Dike
Washington Commanders,WR2,Terry McLaurin
