Name,Position,Team,Bye,Tier,PTS,VALUE,ECR
Josh Allen,QB,BUF,7,1,295,51,QB1
Jahmyr Gibbs,RB,DET,6,1,267,159,RB1
Puka Nacua,WR,LAR,11,1,240,134,WR2
Lamar Jackson,QB,BAL,13,2,268,23,QB2
Bijan Robinson,RB,ATL,11,1,252,145,RB2
Ja'Marr Chase,WR,CIN,6,1,233,126,WR1
Jayden Daniels,QB,WAS,7,2,266,21,QB5
Christian McCaffrey,RB,SF,8,2,233,126,RB3
Jaxon Smith-Njigba,WR,SEA,11,1,225,119,WR3
Jalen Hurts,QB,PHI,10,2,264,20,QB6
Jonathan Taylor,RB,IND,13,2,230,123,RB4
Amon-Ra St. Brown,WR,DET,6,2,215,109,WR4
Drake Maye,QB,NE,11,2,263,18,QB3
Derrick Henry,RB,BAL,13,3,202,95,RB12
Justin Jefferson,WR,MIN,6,3,183,77,WR6
Joe Burrow,QB,CIN,6,2,260,15,QB4
James Cook III,RB,BUF,7,3,202,95,RB5
CeeDee Lamb,WR,DAL,14,3,182,75,WR5
Trevor Lawrence,QB,JAC,7,3,255,10,QB9
De'Von Achane,RB,MIA,6,3,202,95,RB10
Drake London,WR,ATL,11,3,178,72,WR8
Dak Prescott,QB,DAL,14,3,253,8,QB10
Chase Brown,RB,CIN,6,3,197,90,RB7
A.J. Brown,WR,NE,11,3,175,69,WR7
Jaxson Dart,QB,NYG,8,3,253,8,QB13
Saquon Barkley,RB,PHI,10,3,196,89,RB6
Chris Olave,WR,NO,8,3,172,66,WR10
Brock Purdy,QB,SF,8,3,253,8,QB12
Kenneth Walker III,RB,KC,5,3,187,80,RB8
George Pickens,WR,DAL,14,3,170,64,WR11
Caleb Williams,QB,CHI,10,3,251,6,QB7
Ashton Jeanty,RB,LV,13,3,184,77,RB11
Rashee Rice,WR,KC,5,3,168,62,WR15
Justin Herbert,QB,LAC,7,3,251,6,QB8
Omarion Hampton,RB,LAC,7,3,182,75,RB9
Nico Collins,WR,HOU,8,3,168,62,WR9
Bo Nix,QB,DEN,10,4,245,0,QB11
Jeremiyah Love,RB,ARI,14,3,182,75,RB16
Malik Nabers,WR,NYG,8,4,162,56,WR12
Patrick Mahomes II,QB,KC,5,4,245,0,QB15
Josh Jacobs,RB,GB,11,4,178,71,RB17
Zay Flowers,WR,BAL,13,4,158,52,WR14
Jared Goff,QB,DET,6,4,238,-7,QB14
Kyren Williams,RB,LAR,11,4,177,70,RB13
DeVonta Smith,WR,PHI,10,4,154,48,WR13
